n,FLOPs_per_sec
2,5.24017467e+07
3,9.98151571e+07
4,1.92000000e+08
5,2.39616613e+08
6,2.88000000e+08
7,3.07210031e+08
8,3.17617866e+08
9,3.24000000e+08
10,3.34821429e+08
11,3.63000000e+08
12,3.84000000e+08
13,3.99055490e+08
14,3.92000000e+08
15,3.99881517e+08
16,4.09709256e+08
17,4.04007456e+08
18,3.85484830e+08
19,3.87963461e+08
20,3.66916374e+08
21,4.01883354e+08
22,4.02829796e+08
23,4.11726553e+08
24,4.53186467e+08
25,4.54545455e+08
26,4.54861501e+08
27,4.44828638e+08
28,4.74432678e+08
29,4.94221352e+08
30,4.90909091e+08
31,5.12533333e+08
32,4.86614922e+08
33,5.09156082e+08
34,5.07499817e+08
35,5.15789474e+08
36,5.14081714e+08
37,4.96584245e+08
38,5.09677040e+08
39,5.11747883e+08
40,5.20071510e+08
41,5.10683544e+08
42,5.19434629e+08
43,5.19017544e+08
44,4.79841375e+08
45,4.74146341e+08
46,4.82884528e+08
47,4.64384570e+08
48,4.85069652e+08
49,4.84919887e+08
50,4.87139517e+08
51,4.87048249e+08
52,4.87338920e+08
53,4.87349276e+08
54,4.86000000e+08
55,4.88336427e+08
56,4.87675919e+08
57,5.34682794e+08
58,5.23104833e+08
59,5.33813832e+08
60,3.77569571e+08
61,5.36347475e+08
62,5.35848706e+08
63,5.31645570e+08
64,5.32339817e+08
65,5.78886072e+08
66,5.76520934e+08
67,5.78181350e+08
68,5.77506713e+08
69,5.76601671e+08
70,5.76459285e+08
71,5.55400492e+08
72,5.76459032e+08
73,5.81789730e+08
74,5.80238411e+08
75,4.87949456e+08
76,5.79609312e+08
77,5.17124084e+08
78,5.79805905e+08
79,5.88163227e+08
80,5.85142857e+08
81,5.83563106e+08
82,5.86472068e+08
83,5.85948796e+08
84,5.87657200e+08
85,5.87804580e+08
86,5.86154517e+08
87,5.86933764e+08
88,6.22633166e+08
89,5.68887506e+08
90,6.25756444e+08
91,6.27285123e+08
92,6.23430192e+08
93,6.28074167e+08
94,6.24636230e+08
95,6.26917511e+08
96,6.22765821e+08
97,6.25813389e+08
98,6.21564482e+08
99,6.27538443e+08
100,6.26363646e+08
101,6.29361138e+08
102,5.98309276e+08
103,6.28929948e+08
104,5.49384127e+08
105,6.57117029e+08
106,6.56385092e+08
107,6.61575207e+08
108,5.89959958e+08
109,6.59805074e+08
110,6.55281970e+08
111,6.59806144e+08
112,6.59730196e+08
113,6.59050831e+08
114,6.52742782e+08
115,6.89754088e+08
116,6.85417392e+08
117,6.61927903e+08
118,6.77847285e+08
119,6.87288170e+08
120,6.29700892e+08
121,6.87860683e+08
122,6.86293948e+08
123,6.88991947e+08
124,6.96929178e+08
125,7.13383454e+08
126,7.09541899e+08
127,7.07241674e+08
128,6.41637512e+08
129,6.78458340e+08
130,6.96113026e+08
131,5.92753356e+08
132,7.08777687e+08
133,6.76909536e+08
134,7.24071187e+08
