size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
2,333.667,291.667,236.333,291.667,264,194.667
3,569,555.667,444.667,513.667,500,486
4,972.333,944.667,833.333,888.333,944.333,750
5,1278,1611.33,1264,1278,1555.67,1222.67
6,2014,2555.67,4486,1986.33,2555.67,2014
7,3153,4055.33,11208.3,3069.33,3958.33,11597.3
8,12875,5680.67,4486,4388.33,5680.67,4139
9,5222,6652.67,5500,5277.33,6611,5527.67
10,6861.33,9180.67,7250.33,6736.33,8847.33,7139
11,9222.33,11750,9555,9069.33,11819.7,9513.67
12,13277.7,14944,11917,11833.7,15055.7,11805.3
13,14764,25597.3,15111,14722.3,18791.7,14972.3
14,17041.3,22069.3,17847.3,17139.3,22458.3,17514
15,27541.7,23666.7,18541.7,18972.3,23875,18541.7
16,22236,28388.7,22639,22347.3,37083,27500
17,26958,34680.7,27222.3,26736,35222.3,27153
18,31680.7,40888.7,31875.3,31930.3,41458.3,31958.3
19,36791.7,60777.7,37014,37875,55611,38292
20,52264.3,60485.7,40514,40708.3,55278,39777.7
21,78374.7,85972.3,53402.3,43375,61888.7,46402.7
22,48264,69667,49416.3,48513.7,69861.3,52513.7
23,55124.7,73513.7,54666.3,54569.3,74791.3,53847.3
24,64597,78902.7,67000.3,61722,79833.7,56041.7
25,72944.3,87999.7,81472.3,71125.3,89847.7,75833.3
26,74667,96430.3,79486.3,78472.3,109375,84514
27,82444.3,99138.7,79680.3,78430.3,102153,78736.7
28,93069.3,114014,87986.3,92416.3,111153,95833.3
29,90652.7,119861,92527.7,96736,119986,97513.7
30,93528,121320,99236.7,100389,121750,100944
31,102125,134014,104986,109583,153111,109362
32,119264,145445,117500,113458,145014,113833
33,115847,162097,128055,135041,167208,129528
34,131542,159639,127097,122555,158861,126042
35,131944,169403,133861,130903,167667,141278
36,144889,180611,143570,142125,180944,143486
37,146833,183736,148417,153209,185903,145680
38,158459,195458,164305,152014,191583,149944
39,162611,209139,170486,189347,207722,167528
40,182278,215361,178736,171000,218694,168889
41,176903,221653,182014,170528,230250,192514
42,203667,252584,198681,184222,253070,205083
43,204181,253014,214222,201292,257764,201528
44,209889,270375,243736,224833,265653,210417
45,228070,302875,240514,228986,310097,229528
46,238653,292569,258903,234139,317458,245209
47,247597,329444,261375,251764,307903,237931
48,309084,325805,256945,282181,343945,263889
49,256347,341361,272153,279181,359708,285722
50,302500,399611,323375,339875,407486,318875
51,333958,417931,347653,318945,413292,315944
52,334389,413528,347750,371083,426986,334723
53,341097,444945,392250,383292,448861,376333
54,382778,500944,393014,400903,512583,409861
55,412125,519472,410112,410292,499403,392472
56,454194,554903,435264,402750,553042,460764
57,433819,561264,463444,466069,626125,470139
58,497291,657500,471736,458097,616875,474083
59,496389,641945,523569,511347,650291,529389
60,533236,692958,584222,517181,655528,526153
61,547986,702736,520458,537445,695139,535806
62,583945,725583,594500,609972,750723,583055
63,634625,774486,651875,627403,779361,629167
64,644875,824750,622584,604736,799986,631736
65,652459,856875,645250,707570,864306,676152
66,709278,885889,740264,737056,927375,760292
67,686694,918917,775986,772861,969931,812528
68,700681,937611,828653,773792,966611,828000
69,786792,1.02892e+06,867070,798778,1.01767e+06,874291
70,805667,1.05385e+06,884306,838653,1.09944e+06,895667
71,870528,1.1334e+06,919584,861431,1.1461e+06,970555
72,914708,1.19397e+06,1.02738e+06,936528,1.16147e+06,1.04028e+06
73,914180,1.21694e+06,1.02524e+06,936195,1.22961e+06,955180
74,963667,1.21374e+06,1.05488e+06,986639,1.36683e+06,1.10985e+06
75,957403,1.30225e+06,1.04244e+06,1.002e+06,1.30093e+06,1.11239e+06
76,1.06749e+06,1.32501e+06,1.13865e+06,1.05649e+06,1.34475e+06,1.14993e+06
77,1.18283e+06,1.38401e+06,1.17126e+06,1.12375e+06,1.45257e+06,1.16817e+06
78,1.15469e+06,1.46631e+06,1.1734e+06,1.13614e+06,1.47956e+06,1.23308e+06
79,1.16586e+06,1.53983e+06,1.20432e+06,1.21218e+06,1.66772e+06,1.21238e+06
80,1.19576e+06,1.61738e+06,1.28038e+06,1.28530e+06,1.61731e+06,1.25178e+06
81,1.30975e+06,1.5649e+06,1.27332e+06,1.30189e+06,1.68671e+06,1.33076e+06
82,1.30812e+06,1.73381e+06,1.38931e+06,1.3566e+06,1.74399e+06,1.43332e+06
83,1.34567e+06,1.75465e+06,1.44247e+06,1.42639e+06,1.74403e+06,1.40494e+06
84,1.44406e+06,1.85668e+06,1.49343e+06,1.50978e+06,1.87812e+06,1.43232e+06
85,1.49565e+06,1.92042e+06,1.53828e+06,1.56074e+06,1.8684e+06,1.49636e+06
86,1.46804e+06,1.98813e+06,1.63762e+06,1.57612e+06,2.00454e+06,1.48615e+06
87,1.55203e+06,2.05418e+06,1.6749e+06,1.65586e+06,2.02554e+06,1.64229e+06
88,1.62038e+06,2.09497e+06,1.69018e+06,1.58337e+06,2.16658e+06,1.65597e+06
89,1.67485e+06,2.20722e+06,1.72842e+06,1.74485e+06,2.22839e+06,1.84104e+06
90,1.73708e+06,2.22936e+06,1.74406e+06,1.77682e+06,2.25763e+06,1.88615e+06
91,1.74072e+06,2.35642e+06,1.94232e+06,1.88154e+06,2.40026e+06,1.82715e+06
92,1.82051e+06,2.36696e+06,1.90631e+06,1.80588e+06,2.45853e+06,1.93512e+06
93,1.9454e+06,2.49724e+06,1.99328e+06,2.00467e+06,2.5236e+06,2.0411e+06
94,2.13406e+06,2.57714e+06,1.93429e+06,2.03485e+06,2.63624e+06,2.07012e+06
95,2.11554e+06,2.62446e+06,2.08974e+06,2.06401e+06,2.6621e+06,2.14271e+06
96,2.23178e+06,2.80611e+06,2.22103e+06,2.10476e+06,2.80047e+06,2.10433e+06
97,2.15049e+06,3.07118e+06,2.78483e+06,2.38361e+06,3.17942e+06,2.41281e+06
98,2.42171e+06,3.08439e+06,2.31244e+06,2.46065e+06,4.16075e+06,2.45164e+06
99,2.32731e+06,3.02754e+06,2.30492e+06,2.45797e+06,3.09822e+06,2.45885e+06
100,2.31878e+06,2.99854e+06,2.46022e+06,2.51665e+06,3.08999e+06,2.46399e+06
101,2.42779e+06,3.30175e+06,2.62697e+06,2.51543e+06,3.14293e+06,2.52421e+06
102,2.53485e+06,3.35939e+06,2.57219e+06,2.55979e+06,3.35037e+06,2.68981e+06
103,2.59411e+06,3.39761e+06,2.60829e+06,2.68456e+06,3.40264e+06,2.64189e+06
104,2.62671e+06,3.52664e+06,2.73567e+06,2.70175e+06,3.49604e+06,2.87339e+06
105,2.91299e+06,3.70026e+06,2.91446e+06,2.96486e+06,3.65881e+06,2.90562e+06
106,2.88221e+06,3.75867e+06,2.99932e+06,2.94826e+06,3.80685e+06,2.96921e+06
107,2.8851e+06,3.79671e+06,3.04024e+06,3.04249e+06,3.907e+06,3.0761e+06
108,2.95231e+06,3.92783e+06,3.18092e+06,3.09286e+06,3.95142e+06,3.19403e+06
109,3.00414e+06,4.04264e+06,3.24087e+06,3.14922e+06,3.99167e+06,3.34064e+06
110,3.15536e+06,4.11493e+06,3.2391e+06,3.23304e+06,4.30476e+06,3.23187e+06
111,3.51224e+06,4.21968e+06,3.48138e+06,3.33819e+06,4.32619e+06,3.65515e+06
112,3.41868e+06,4.37958e+06,3.47475e+06,3.58801e+06,4.53538e+06,3.59203e+06
113,3.43432e+06,4.531e+06,3.61921e+06,3.41539e+06,4.58525e+06,3.6101e+06
114,3.6434e+06,4.58065e+06,3.59715e+06,3.82597e+06,4.64907e+06,3.75574e+06
115,3.78828e+06,4.90417e+06,3.9075e+06,3.88935e+06,4.9579e+06,3.99624e+06
116,3.68072e+06,4.83588e+06,3.92679e+06,3.80676e+06,4.97889e+06,4.05769e+06
117,3.86932e+06,4.98251e+06,4.19928e+06,4.06058e+06,5.15842e+06,4.32128e+06
118,3.8399e+06,5.19306e+06,4.04475e+06,4.07835e+06,5.20232e+06,4.24896e+06
119,3.98324e+06,5.31486e+06,4.14004e+06,4.12835e+06,5.28762e+06,4.20679e+06
120,4.12721e+06,5.26794e+06,4.23379e+06,4.15756e+06,5.35086e+06,4.20807e+06
121,4.1785e+06,5.42082e+06,4.22201e+06,4.31918e+06,5.45044e+06,4.43826e+06
122,4.38515e+06,5.58464e+06,4.45957e+06,4.41867e+06,5.70872e+06,4.47931e+06
123,4.55733e+06,5.8226e+06,4.52913e+06,4.62635e+06,5.94121e+06,4.65217e+06
124,4.75343e+06,5.9156e+06,4.98249e+06,4.71631e+06,6.0956e+06,4.65613e+06
125,4.57049e+06,5.9949e+06,4.73165e+06,4.73078e+06,6.18162e+06,4.88496e+06
126,4.78118e+06,6.08844e+06,4.79442e+06,4.91525e+06,6.33892e+06,4.96921e+06
127,4.89851e+06,6.30862e+06,4.96911e+06,4.91319e+06,6.53621e+06,6.42669e+06
128,5.15879e+06,6.45239e+06,5.67511e+06,5.82538e+06,6.70454e+06,5.63315e+06
129,5.47857e+06,6.57526e+06,5.11876e+06,5.22828e+06,6.8594e+06,5.40424e+06
130,5.14585e+06,6.71156e+06,5.12292e+06,5.14288e+06,7.00503e+06,5.40518e+06
131,5.5301e+06,6.90097e+06,5.47532e+06,5.32139e+06,7.12822e+06,5.79519e+06
132,5.73943e+06,6.99493e+06,5.78253e+06,5.63564e+06,7.26197e+06,5.55789e+06
133,5.61544e+06,7.22735e+06,5.7885e+06,5.91862e+06,7.58078e+06,5.96654e+06
134,5.89914e+06,7.43262e+06,5.77768e+06,5.88083e+06,7.7239e+06,5.92764e+06
135,5.93404e+06,7.54544e+06,5.92961e+06,6.03433e+06,7.80821e+06,6.31921e+06
136,6.1545e+06,7.73079e+06,6.15492e+06,6.24943e+06,7.98181e+06,6.06971e+06
137,6.21929e+06,7.93479e+06,6.41899e+06,6.33058e+06,8.15385e+06,6.51615e+06
138,6.24125e+06,8.00496e+06,6.35001e+06,6.4306e+06,8.35151e+06,6.53346e+06
139,6.41433e+06,8.19781e+06,6.51454e+06,6.60739e+06,8.44343e+06,6.83926e+06
140,6.53228e+06,8.29658e+06,6.73781e+06,7.54339e+06,8.81707e+06,7.02722e+06
141,7.00476e+06,8.83454e+06,7.21015e+06,6.72661e+06,9.08962e+06,7.34592e+06
142,6.76874e+06,8.87174e+06,6.82343e+06,7.25633e+06,9.33743e+06,7.21587e+06
143,6.98889e+06,9.1061e+06,7.20024e+06,7.35083e+06,9.48143e+06,7.63446e+06
144,7.41632e+06,9.35912e+06,7.2479e+06,7.38083e+06,9.78886e+06,7.47101e+06
145,7.60547e+06,9.42217e+06,7.37476e+06,7.61482e+06,9.93492e+06,7.87033e+06
146,7.79208e+06,9.63604e+06,7.81693e+06,7.61361e+06,1.01804e+07,7.94543e+06
147,7.6867e+06,9.90726e+06,7.94272e+06,7.91599e+06,1.02948e+07,8.32912e+06
148,8.05456e+06,9.99031e+06,7.99626e+06,7.90415e+06,1.04548e+07,7.99888e+06
149,7.94828e+06,1.02472e+07,8.26556e+06,7.88604e+06,1.06037e+07,8.47896e+06
150,8.24661e+06,1.0467e+07,8.22857e+06,8.09229e+06,1.08767e+07,8.49068e+06
151,8.51612e+06,1.11471e+07,8.85924e+06,8.5191e+06,1.60916e+07,8.99019e+06
152,8.79326e+06,1.06366e+07,8.60024e+06,9.00872e+06,1.15532e+07,8.68211e+06
153,8.77975e+06,1.10731e+07,8.80707e+06,8.76165e+06,1.19766e+07,9.28082e+06
154,9.02393e+06,1.13543e+07,9.15199e+06,9.15276e+06,1.20384e+07,9.30667e+06
155,8.80608e+06,1.15548e+07,9.24122e+06,9.37511e+06,1.21813e+07,9.72572e+06
156,9.32236e+06,1.16745e+07,9.10774e+06,9.31622e+06,1.20492e+07,9.23924e+06
157,9.38975e+06,1.18616e+07,9.47007e+06,1.07528e+07,1.24568e+07,9.81861e+06
158,1.00248e+07,1.38745e+07,9.78421e+06,9.57518e+06,1.29176e+07,9.94153e+06
159,9.2999e+06,1.25892e+07,9.63718e+06,9.70313e+06,1.32224e+07,1.02426e+07
160,9.7074e+06,1.26595e+07,9.86129e+06,9.82162e+06,1.31978e+07,1.02888e+07
161,9.72824e+06,1.26608e+07,1.03839e+07,1.02198e+07,1.30435e+07,1.07824e+07
162,9.89946e+06,1.30602e+07,1.01738e+07,1.13737e+07,1.3915e+07,1.03897e+07
163,1.0104e+07,1.32695e+07,1.08366e+07,1.0557e+07,1.38432e+07,1.0983e+07
164,1.08708e+07,1.35713e+07,1.16068e+07,1.07234e+07,1.41385e+07,1.07035e+07
165,1.08069e+07,1.36966e+07,1.11051e+07,1.07705e+07,1.44739e+07,1.15245e+07
166,1.10164e+07,1.40229e+07,1.13871e+07,1.13563e+07,1.48693e+07,1.18431e+07
167,1.13752e+07,1.43842e+07,1.14974e+07,1.15048e+07,1.50819e+07,1.19204e+07
168,1.13851e+07,1.44878e+07,1.13515e+07,1.18298e+07,1.51878e+07,1.14278e+07
169,1.14836e+07,1.47652e+07,1.19141e+07,1.16269e+07,1.50592e+07,1.22113e+07
170,1.18405e+07,1.49147e+07,1.18098e+07,1.13633e+07,1.56339e+07,1.19662e+07
171,1.1819e+07,1.53221e+07,1.23808e+07,1.15675e+07,1.56772e+07,1.30972e+07
172,1.20064e+07,1.54634e+07,1.22172e+07,1.23554e+07,1.62352e+07,1.26858e+07
173,1.22757e+07,1.57826e+07,1.32442e+07,1.20274e+07,1.57766e+07,1.30138e+07
174,1.26598e+07,1.59545e+07,1.26284e+07,1.28723e+07,1.67303e+07,1.27743e+07
175,1.2712e+07,1.63003e+07,1.30564e+07,1.30046e+07,1.66277e+07,1.34955e+07
176,1.29574e+07,1.67023e+07,1.2974e+07,1.33071e+07,1.7415e+07,1.31648e+07
177,1.32619e+07,1.68169e+07,1.34946e+07,1.31697e+07,1.71915e+07,1.40477e+07
178,1.39924e+07,1.71827e+07,1.57747e+07,1.34383e+07,1.80345e+07,1.48971e+07
179,1.33824e+07,1.73988e+07,1.39686e+07,1.37595e+07,1.78785e+07,1.44738e+07
180,1.42287e+07,1.7934e+07,1.39079e+07,1.40606e+07,1.86993e+07,1.4112e+07
181,1.39207e+07,1.80769e+07,1.43544e+07,1.44783e+07,1.82549e+07,1.48829e+07
182,1.45795e+07,1.85349e+07,1.59991e+07,1.41137e+07,1.94134e+07,1.54646e+07
183,1.42338e+07,1.89805e+07,1.51776e+07,1.44467e+07,1.92056e+07,1.53975e+07
184,1.46776e+07,1.91151e+07,1.48132e+07,1.5197e+07,1.99982e+07,1.51429e+07
185,1.5067e+07,1.96357e+07,1.59216e+07,1.51276e+07,1.94487e+07,1.59788e+07
186,1.51976e+07,1.99685e+07,1.65576e+07,1.54262e+07,2.04177e+07,1.71984e+07
187,1.55525e+07,2.02484e+07,1.60496e+07,1.58784e+07,2.02878e+07,1.6217e+07
188,1.58523e+07,2.08196e+07,1.58781e+07,1.59535e+07,2.12382e+07,1.62852e+07
189,1.59849e+07,2.10735e+07,1.73772e+07,1.64518e+07,2.05601e+07,1.74243e+07
190,1.66281e+07,2.15393e+07,1.66621e+07,1.63364e+07,2.19671e+07,1.67584e+07
191,1.68636e+07,2.21079e+07,1.71355e+07,1.6833e+07,2.17067e+07,1.75488e+07
192,1.73339e+07,2.25983e+07,1.80033e+07,1.75325e+07,2.29243e+07,1.89916e+07
193,1.72233e+07,2.29783e+07,1.78821e+07,1.77372e+07,2.28102e+07,1.85621e+07
194,1.78576e+07,2.32358e+07,1.78777e+07,1.80203e+07,2.37392e+07,1.79232e+07
