size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
2,194.333,194,180.667,194.667,180.333,194.333
3,333.667,402.667,333.333,319.333,403,347.333
4,625.333,708,638.667,569.333,722.333,611
5,999.667,1208.67,1013.67,972,1264,1014
6,1514.33,1847.33,1541.67,1472,1833.33,1569.33
7,2472.67,3569,2638.67,2472.33,3180.33,2625
8,3194,4055.33,3305.67,3139,4097.33,3333.33
9,5472.33,10514,5180.67,4944.33,19361,5139.33
10,5680.67,7500,6013.67,5749.67,7388.67,5958.33
11,7708.33,9958,7847,7750,10250,7944.67
12,9791.67,13639.3,9889,9902.67,12889,10486
13,113847,12611.3,10097,9625,12513.7,9930.33
14,13416.7,13819.7,10083.3,10861,12694.7,10139
15,18250,23653,19347.3,18444.7,23944.3,18402.7
16,17444.3,22777.7,17792,17611.3,22805.3,17958.3
17,26875.3,35111,26903,27500,34208.3,27333.3
18,33194.3,41541.7,32306,33444.3,41361.3,32722
19,47444.7,222180,43319.7,178028,59930.7,46125
20,44861,60875,43472.3,47833.3,61014,43416.7
21,60124.7,212431,61902.7,59069.7,79986.3,56916.7
22,57486,82680,57763.7,65096.7,81222,56833
23,64319.7,89680.7,222861,69222.3,89750.3,66027.7
24,107250,105555,73736.7,76014,104042,80958.3
25,79236,107764,83458.7,82264,107042,6.46872e+06
26,106944,129069,103014,98319.7,131056,105403
27,58125,68652.7,55528,57986.3,69111,55569.7
28,134944,150083,114972,113778,6.26918e+06,87555.7
29,110070,141042,5.25181e+06,93083.3,123417,99458.3
30,139195,182139,5.44375e+06,107278,132514,104222
31,189639,272555,202305,174750,215222,176347
32,312333,666375,194348,190639,235125,188445
33,5.93626e+06,177208,140167,133972,177930,141889
34,153625,189625,153375,151958,193278,151097
35,302194,306250,244319,249570,306028,244986
36,699889,493569,387042,337542,396236,271264
37,194389,244875,194333,189819,246472,191417
38,298319,2.91354e+06,380278,420680,7.8084e+06,3.36586e+06
39,234958,289097,237583,225709,288194,224666
40,233556,308361,257111,242236,312653,238653
41,348986,440750,347195,380362,432847,352625
42,317694,1.67755e+07,3.68775e+06,5.38457e+06,475209,641208
43,5.20522e+06,2.09841e+07,5.95589e+06,322459,2.45471e+06,211306
44,429930,520805,419889,401083,534764,3.71728e+06
45,6.20393e+06,5.54832e+06,3.06001e+06,288166,362000,287153
46,5.8692e+06,2.18301e+06,1.58351e+06,363278,417556,5.60319e+06
47,3.67199e+06,418764,1.06206e+07,447028,4.42906e+06,6.74139e+06
48,1.01315e+06,4.70543e+06,532069,524208,1.17939e+06,478486
49,603472,480944,384666,934527,705028,7.52146e+06
50,524764,2.86731e+06,564083,525750,2.79429e+06,862639
51,1.35026e+06,5.86946e+06,558264,1.90149e+06,8.19874e+06,3.3951e+06
52,765056,1.1759e+06,673486,815083,941125,839847
53,466153,592250,6.40704e+06,9.89853e+06,5.42101e+06,701486
54,664736,1.34181e+07,412444,408430,515694,398056
55,786889,5.90104e+06,447486,482778,975292,6.85397e+06
56,1.8456e+06,1.33025e+07,747180,462680,5.87492e+06,564236
57,547486,2.92675e+07,500153,476556,606222,479514
58,1.05007e+06,4.12643e+06,1.51012e+07,726333,898403,695166
59,8.70357e+06,3.31893e+06,528306,526695,685556,524639
60,9.15929e+06,966125,658972,656597,819278,613958
61,1.05551e+06,1.70592e+07,7.92407e+06,653347,866306,630181
62,723514,1.13748e+07,4.69454e+06,1.04671e+06,848417,674291
63,4.68593e+06,2.18886e+06,2.50085e+06,858931,1.02061e+06,833514
64,5.71947e+06,942472,6.47667e+06,746611,2.77782e+06,763931
65,1.15642e+06,6.07033e+06,1.25956e+06,1.52379e+06,1.03464e+06,6.39421e+06
66,2.83392e+06,8.56385e+06,2.78083e+06,1.87196e+06,2.04363e+07,921042
67,1.38801e+07,1.74444e+06,1.52139e+06,1.13769e+06,2.47983e+06,9.08754e+06
68,2.38141e+07,4.43907e+06,1.06228e+06,924083,1.18728e+06,981347
69,1.55583e+07,7.70093e+06,880667,938500,1.05237e+06,6.35426e+06
70,1.23805e+07,9.80833e+06,3.38297e+06,1.84015e+06,2.55749e+06,965972
71,996209,2.41331e+07,995889,1.10274e+06,1.60199e+06,1.14528e+06
72,5.85404e+06,1.27199e+06,1.07954e+06,8.22771e+06,1.22521e+06,1.61849e+06
73,1.91249e+06,1.91603e+06,3.78714e+06,1.11775e+07,3.21189e+06,1.15353e+06
74,1.88742e+06,1.90578e+07,1.09072e+06,1.05164e+06,1.29393e+06,1.09493e+06
75,9.70819e+06,1.53556e+06,1.80422e+06,1.10805e+07,3.5196e+06,4.21876e+06
76,9.43133e+06,5.76219e+06,7.57444e+06,1.47031e+07,3.8984e+06,1.20283e+06
77,1.52601e+06,4.71865e+06,1.54358e+06,1.52154e+06,1.941e+06,1.82767e+06
78,1.43805e+07,3.22115e+06,1.78786e+06,8.77274e+06,1.79167e+06,1.2284e+06
79,1.37724e+06,1.88736e+06,1.80175e+07,7.79257e+06,1.58408e+06,1.2461e+06
80,1.25463e+07,1.48027e+07,1.90444e+06,1.29224e+06,3.26761e+06,1.34015e+06
81,1.14583e+07,2.10092e+06,1.58557e+06,5.48457e+06,1.79521e+07,1.57549e+06
82,1.98e+06,2.46004e+06,1.85556e+06,4.46567e+06,2.34658e+06,1.89535e+06
83,3.84726e+06,4.88976e+06,1.42858e+07,1.48178e+06,7.96461e+06,1.46539e+06
84,1.01457e+07,5.96122e+06,1.54836e+06,1.78083e+07,4.60178e+06,2.11112e+06
85,7.57151e+06,3.92182e+06,1.69296e+06,7.32326e+06,2.415e+06,1.70661e+06
86,6.81565e+06,3.65896e+06,7.58378e+06,3.19029e+06,1.23025e+07,1.61899e+06
87,1.43653e+07,4.77936e+06,2.7065e+06,1.09761e+07,2.23778e+06,1.78529e+06
88,1.11263e+07,2.71467e+06,1.99218e+06,2.95639e+06,3.53576e+06,5.60868e+06
89,5.01018e+06,9.70361e+06,1.86472e+06,5.82539e+06,2.25912e+06,1.39545e+07
90,2.57157e+07,2.35436e+06,2.35332e+06,8.36354e+06,3.90594e+06,6.25483e+06
91,6.17881e+06,8.04768e+06,2.08683e+06,2.41772e+06,2.66661e+06,2.10847e+06
92,2.36469e+06,5.47053e+06,4.56611e+06,4.32571e+06,1.42622e+07,2.02121e+06
93,6.92075e+06,3.1849e+06,2.58193e+06,2.72596e+06,4.38138e+06,1.05636e+07
94,1.48499e+07,2.9844e+06,1.21753e+07,2.27497e+06,6.95519e+06,2.42379e+06
95,2.86353e+06,1.45832e+07,2.21499e+07,2.19361e+06,6.12419e+06,2.44753e+06
