size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
2,208.333,249.333,166.667,291.667,166.667,152.667
3,514,472,374.667,444.333,416.333,375
4,736,722,639,763.667,708.333,694.333
5,1263.67,1222.33,1027.67,1264,1166.67,1041.67
6,1944.33,1888.33,1611.33,2014.33,1874.67,1583.33
7,2958.67,2888.67,2333.33,2958.33,2958.67,2263.67
8,4083.33,4236,3319.33,4347.67,4125,3347.33
9,5652.33,5597.33,4486.33,6000,5527.33,4583
10,7986,7472.33,6291.67,8139,7583.33,6042
11,10139,10055.3,7972,10569,10222.7,7986
12,12903,12764,10292,13694.7,12583.3,10222.7
13,16847.3,15819.7,12889,17250.3,16292,12805.7
14,20944.3,20388.3,16000,21736,19792,15402.7
15,25319.3,27555.7,18916.7,25944.7,23916.3,19361
16,30875,29375,23195,33611,28888.7,23860.7
17,36972,34055.3,27361,37777.7,34430,26722
18,46375.3,44500.3,34250,48055.7,42888.7,41653
19,55236,53055.7,37624.7,53986,53013.7,37778
20,84069.7,84444.3,65888.7,89861.3,84888.7,63569.3
21,72805,71055.7,49791.7,72458.3,71527.3,49875
22,81583.3,81000.3,56541.7,83361,80889,56958.3
23,137069,127306,122472,1.28296e+06,131792,93931
24,157792,101541,73125.3,105708,103569,72430.3
25,118166,116194,95014,118528,116083,93736.3
26,134486,130917,109083,135167,129792,106041
27,1.21474e+06,1.21258e+07,98083,135542,119348,109792
28,164542,163458,129694,168555,1.28905e+07,114084
29,182903,180639,141639,186847,176708,141986
30,201028,194833,153111,203806,192542,152792
31,425430,249444,190222,239958,236167,189875
32,209528,193472,147542,197305,193819,1.49977e+07
33,266972,253514,194361,260528,344000,2.04322e+06
34,280833,278153,2.35883e+06,434083,3.573e+06,201098
35,575292,318903,591444,352056,330500,1.78754e+06
36,187583,183250,153014,189500,183431,155889
37,413667,411444,315973,9.08854e+06,492986,372750
38,1.25267e+07,208459,168903,222042,210486,177611
39,1.26917e+07,227014,184958,240542,229570,186208
40,461639,434695,354347,5.92378e+06,776736,310903
41,1.32469e+07,263056,220208,273167,258875,220514
42,289417,277152,216097,289264,275597,228709
43,432570,422111,323764,443639,419542,6.98818e+06
44,1.4492e+07,311611,248639,336500,308250,238361
45,494820,473986,380181,507764,7.18599e+06,313306
46,527598,520778,410472,532486,7.1165e+06,338139
47,566458,547333,430986,7.31486e+06,456736,355681
48,548097,527084,428694,561625,531417,404875
49,5.72929e+06,812833,488139,613070,3.01088e+06,420945
50,707208,680639,2.49654e+06,702125,648680,497320
51,1.85629e+07,1.38033e+06,813764,859305,1.54266e+08,3.71543e+06
52,4.67829e+06,1.16758e+06,852042,2.82737e+07,541403,1.18991e+08
53,1.10917e+07,1.84425e+07,438778,596028,1.04268e+07,683528
54,4.77176e+06,3.29353e+06,685097,868834,806889,600986
55,2.05513e+07,914792,8.23594e+07,2.29803e+07,1.16804e+06,782653
56,1.13096e+06,6.84863e+06,546695,728208,687403,9.82099e+06
57,1.26958e+07,4.94746e+06,1.90132e+07,729805,1.33313e+07,813333
58,926083,2.822e+07,5.47394e+07,3.47827e+07,1.27386e+06,554708
59,6.76115e+06,2.04949e+07,1.1374e+06,815180,769375,607306
60,1.95506e+06,6.19499e+07,602444,1.15819e+07,3.76205e+07,595694
61,1.81379e+06,1.52529e+07,739472,1.99751e+06,6.49178e+07,1.02369e+08
62,5.61428e+06,2.07672e+07,745958,991111,924917,728223
63,1.32746e+08,9.5861e+06,697556,3.23887e+07,874653,677666
64,991903,969472,765430,8.7211e+07,1.30468e+08,734278
65,5.13174e+06,1.51521e+06,2.10183e+07,1.79061e+07,3.10162e+07,1.79118e+08
66,1.09671e+06,1.05235e+06,7.73792e+07,1.06707e+06,7.71668e+06,1.1249e+07
67,1.12688e+06,1.15718e+08,1.92724e+07,1.74717e+07,1.07767e+06,7.01076e+07
68,1.84187e+07,1.21294e+08,963820,7.73365e+07,1.14208e+06,924236
69,3.58741e+07,4.35595e+07,979347,7.36913e+07,1.79252e+07,1.09496e+08
70,8.44381e+07,1.26703e+06,6.11207e+07,1.37422e+06,7.54657e+06,1.14525e+08
71,1.15873e+07,7.80154e+07,1.14456e+06,1.43244e+06,1.44312e+08,2.22121e+07
72,5.95937e+06,1.40738e+06,1.20504e+06,1.48212e+06,1.32292e+08,4.70512e+07
73,2.28533e+08,4.78449e+06,1.17892e+06,5.18485e+07,2.68889e+07,6.90391e+07
74,6.52885e+07,2.55135e+07,2.03963e+07,1.15986e+08,1.40547e+06,1.02896e+08
75,1.53982e+08,1.59789e+06,1.33451e+06,1.13954e+08,2.64954e+07,6.4355e+07
76,2.49521e+06,7.82518e+06,1.21485e+06,1.84002e+08,2.88876e+06,1.06184e+08
77,5.18468e+07,1.57201e+06,1.22021e+06,9.61247e+07,2.60202e+07,1.55793e+08
78,3.92956e+06,1.1061e+08,7.93091e+07,3.41212e+06,5.28268e+06,1.32985e+06
