size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
2,69.3333,83.3333,55.6667,41.6667,69.3333,83
3,111,139,124.667,69.6667,69.3333,83.3333
4,139,139,55.6667,111.333,125,111.333
5,277.333,194.667,138.667,138.667,139,139.333
6,222.333,222.333,153,153,180.333,152.667
7,333,361,194.667,207.667,292,235.667
8,305.333,445,347,333.667,235.667,347.333
9,458.667,625.333,360.667,444.667,305.667,389
10,555.333,875,555.667,541.667,486,472
11,764,1166.67,707.667,792,680.333,791.333
12,1027.67,1305.67,944.333,958.333,819.667,1764
13,1277.67,1625,1361,1222.33,1111,1278
14,1569.33,1750.33,1472,1403,1361,1444.33
15,1625,2208.67,1680.33,1583.33,1722.33,1847.33
16,2153,819.333,2111.33,2069.67,1291.67,2111.33
17,2528,1041.67,2528,2430.33,1513.67,2597
18,3264,1819.33,6416.33,3431,2180.67,9597
19,3319.33,1944.33,3666.67,3333.67,2402.67,3444.67
20,3874.67,2180.33,3889,3861,2930.67,3930.67
21,5458.33,3347,14958.7,6319.67,7138.67,5944.33
22,5028,3444,5028,5013.67,4014,5110.67
23,10680.3,3777.67,7500,15194.7,9513.67,10166.7
24,14639,4528,16889,16027.7,4291.67,22597.3
25,7430.33,5291.33,7236,7153,4083.33,7320
26,8055.67,6194.33,8014,7944.67,5027.33,8180.67
27,8916.67,6944.33,8902.67,8847.33,5722.33,9014
28,9902.67,6806,9861.67,9819.67,6777.67,10375
29,16694.3,8847.33,13500.3,20888.3,8708.33,12194.3
30,12027.7,7972,12055.3,11944.7,8291.67,12125.3
31,25264,15653,14833.3,16056,12777.3,14805.3
32,14430.3,5319.67,14430.3,14694.3,7069.33,15097.3
33,29055.7,6097.33,15972.3,15903,8680.33,15903
34,26097,7138.67,17250,17264,8805.33,17333.3
35,23041.7,8625,31750.3,45152.7,13416.7,83000
36,46625.3,9680.33,40931,46430.3,15305.3,29917
37,57958.3,19319.7,53264,82069.3,22111.3,43208
38,36152.7,12027.7,35722.3,31999.7,14722.7,23833.7
39,26055.7,12666.7,25708.7,26263.7,16625,25625
40,28472.3,13763.7,27653,36819.3,12902.7,27667
41,31028,15097.3,29666.3,30944.7,15972,29569.7
42,76583.3,27347.3,66444.3,59569.7,21888.7,41597.3
43,55097.7,21597.7,47430.7,929709,6.69212e+06,1.69089e+06
44,33153,15916.7,30361,33166.3,15694.3,30639.3
45,2.44176e+06,20111,45139.3,46180.3,18180.7,35236.3
46,64889.3,48208.3,7.12426e+06,5.20533e+06,37125,2.50446e+06
47,46263.7,857903,52444.7,64583.3,28194.7,48666.7
48,78402.3,691611,65319.3,6.72521e+06,1.70189e+06,61166.7
49,2.34583e+06,13208.7,38999.7,45236,20000.3,39305.3
50,89180.3,22166.3,94472.3,119430,40569.7,74819.3
51,81180.3,22402.7,80347,125681,45416.7,3.20838e+06
52,88111.3,24694.3,2.70881e+06,85194.3,32042,64347
53,65166.7,21236,52264,65139,26541.3,52680.7
54,76264,24458,73653,78847.3,28472,59847.3
55,119958,35569.3,97986,151709,61694.7,103347
56,6.80312e+06,29236,86736,112597,36041.7,763819
57,92527.7,3.72747e+06,56319.3,72361,27416.7,55555.7
58,88819.3,29236,67917,89111,29055.7,68319.3
59,127250,1.76717e+06,95291.7,126333,42583,83694.7
60,107125,34583.7,81013.7,107694,34944.3,81402.7
61,196861,55722.3,222194,218000,79333.3,150486
62,1.95335e+06,41069.3,89694.3,121834,40986,89583.3
63,94680.7,30972,71153,94153,32666.7,69930.7
64,154500,29889.3,127153,167403,50180.7,2.76211e+06
65,103945,26680.7,91375,111042,35847,77319.3
66,167306,37874.7,131819,2.81972e+06,39791.7,104736
